Recipe ID,Ingredients,Title,Cuisine,preparation_time,difficulty_level,rating
12122,"allspice , almond , apple juice , baking soda , brandy , butter , cherry , cinnamon , citru , clove , currant , date , egg , flour , flour , molass , raisin , salt , sugar ",Christmas Cake,British Isles,45,hard,2
12399,"chocolate , cocoa powder , coffee , hazelnut , sugar , vanilla ",German Christmas Nougatkugeln (Nougat Balls),DACH Countries,6,easy,5
12454,"almond , baking powder , butter , cinnamon , clove , cream , egg , flour , ginger , honey , nutmeg , orange , orange , raisin , sugar , wheat ",German Christmas Gingerbread,DACH Countries,45,hard,4
12553,"almond , almond , butter , butter , cherry , citru , currant , egg , flour , lemon , milk , raisin , rum , salt , sugar , sugar , water , yeast ",Christmas Stollen II,DACH Countries,45,hard,2
12590,"butter , butter , condensed  milk, flour , flour , prune , prune , raisin , salt , sugar , sugar , walnut , water , yeast ",Schnitzbrot (German Christmas Bread),DACH Countries,20,easy,4
12609,"anise , anise , baking powder , egg , flour , lemon , sugar ",German Anise Christmas Cookies (Springerle),DACH Countries,45,hard,3
12623,"butter , cardamom , cherry , citru , egg , egg , flour , milk , raisin , salt , sugar , yeast ",Nana's Christmas Stollen,DACH Countries,45,hard,1
12648,"butter , cardamom , cinnamon , egg , flour , sugar ",Pebber Nodder (Danish Christmas Cookies),Scandinavia,45,hard,1
12649,"butter , cardamom , cinnamon , clove , egg , flour , nutmeg , salt , sugar ",Danish Peppernut Christmas Cookies (Pebernodder),Scandinavia,45,hard,4
12710,"almond , brandy , cinnamon , clove , orange , port wine , raisin , rum , sugar , wine red ",Swedish Christmas Glogg,Scandinavia,15,easy,5
12791,"bacon , cabbage , caraway , flour , salt pepper , sugar , vinegar ",Norwegian Christmas Cabbage,Scandinavia,13,easy,1
12820,"baking powder , butter , cardamom , egg , flour , lemon , milk , raisin , sugar ",Icelandic Christmas Cake,Scandinavia,45,hard,3
12827,"almond , almond , almond , almond , butter , cardamom , cinnamon , cream , egg , flour , milk , salt , sugar , sugar , sugar , sugar , yeast ",Marzipan Christmas Kringle (Juleskringle),Scandinavia,45,hard,3
12830,"butter , cream , flour , potato , salt ",Christmas Lefse,Scandinavia,13,easy,3
12835,"allspice , almond , baking powder , cinnamon , clove , egg , flour , ginger , lemon juice , pepper , sugar , sugar , sugar , water ",Peppernotter (Scandinavian Christmas Cookies),Scandinavia,45,hard,5
12981,"garlic , macaroni , margarine , mushroom , onion , salt pepper , sauerkraut , water ",Slovak Christmas Soup (Kosare Jucha),Eastern Europe,5,easy,2
13057,"bay leaf , chicken , cream , flour , ham , mushroom , onion , paprika , prune , salt , sauerkraut , sausage , vegetable oil , water ",Slovak Sauerkraut Christmas Soup,Eastern Europe,45,hard,3
13115,"anise , baking powder , butter , egg , flour , salt , shortening , sugar ",Polish Christmas Cookies,Eastern Europe,45,hard,3
13206,"almond , butter , candied mixed fruit , egg , egg , flour , ginger , mace , milk , milk , orange , raisin , salt , sugar , sugar , water , yeast ",Czech Christmas Hoska,Eastern Europe,45,hard,1
14260,"butter , celery , half half , hot sauce , onion , oyster , parsley , pepper , pepper bell ",Oyster Stew Christmas Eve Recipe,USA,19,easy,4
15051,"cheese parmesan , cherry , pecan , salad , salad dressing ",Quick Christmas Salad,USA,8,easy,3
16124,"dill , garlic , sugar ",Texas Christmas Pickles,USA,13,easy,4
16726,"baking powder , baking soda , butter , cherry , cherry , date , egg , egg , flour , grape , pecan , raisin , sugar , vanilla ",Christmas Cookies II,USA,45,hard,4
17067,"basil , butter , cheese , cheese , garlic , milk evaporated , olive , pepper bell , salt , spaghetti ",Christmas Spaghetti,USA,5,easy,2
18378,"beef , bouillon , bread , cornstarch , egg , ketchup , pepper , sugar , vinegar , water ",Connie's Sweet and Sour Christmas Meatballs,Canada,45,hard,5
18383,"almond , butter , pecan , sugar , syrup , vanilla ",Christmas Crispix® Mix,Canada,11,easy,2
18384,"baking powder , baking soda , butter , egg , flour , food coloring , food coloring , salt , sugar , sugar , vanilla ",Christmas Pinwheel Cookies,Canada,45,hard,4
18454,"bacon , butter , cheese cheddar , egg , garlic , milk , mushroom , onion , parsley , pepper , potato , salt ",Christmas Brunch Casserole,Canada,45,hard,5
21123,"cinnamon , cinnamon , coconut milk , egg , milk condensed , milk evaporated , rum , salt ",Puerto Rican Coconut Milk-Rum Christmas Drink: Coquito,Caribbean,45,hard,4
21536,"brandy , butter , clove , egg , flour , salt , sugar , vanilla ",Greek Christmas Cookies (Kourambiedes),Greece,45,hard,5
22743,"celery , chicken , olive , olive , onion , potato , salt , salt , tomato ",Uncle Vincent's Christmas Eve Baccala,Italy,45,hard,5
23656,"celery , chocolate , eggplant , garlic , olive , pepper , vinegar ",Lucia's Christmas Caponata,Italy,15,easy,3
24041,"allspice , beef , bread , carrot , celery , garlic , olive , onion , pancetta , parsley , pepper , pork , romano  cheese, sausage , tomato , wine red ",Christmas Pasta,Italy,45,hard,1
25778,"blackberry , blueberry , cake , cream , raspberry , strawberry , sugar ",Torta di Panettone: Christmas Cake,Italy,19,easy,3
25965,"baking soda , brandy , brandy , butter , butter , candied mixed fruit , cinnamon , clove , egg , flour , milk , molass , raisin , salt , salt , sauce  soybean, sugar , vanilla ",Nana's Traditional Christmas Steamed Plum Pudding with Hard Sauce,British Isles,45,hard,2
30169,"butter , cinnamon , egg , flour , milk , potato , raisin , salt , shortening , sugar , walnut , water , yeast ",Christmas Morning Cinnamon Buns,USA,45,hard,3
30291,"biscuit , butter , cinnamon , cinnamon , corn , egg , food coloring , marshmallow , sugar , water ",Sandra's Christmas Wreath,USA,45,hard,2
30686,"champagne , pear , pomegranate , pomegranate ",Christmas Cocktail,USA,18,easy,2
30958,"butter , cornstarch , currant red , egg , egg , flour , flour , juice  apple, lemon , lemon , milk condensed , orange , salt , salt , sugar , sugar ",Christmas Citrus Squares,USA,45,hard,2
31026,"apple , apricot , brandy , butter , butter , cinnamon , cream , cream , egg , egg , fig , lemon , lemon juice , nutmeg , orange , pastry , pate , prune , sugar , sugar , sugar ",Christmas Apple Pie,USA,45,hard,2
31318,"almond , baking powder , baking soda , butter , cocoa powder , cranberry , egg , flour , milk , milk , salt , sugar , sugar , sugar , vanilla , vanilla , vegetable oil , water ",Cupcake Christmas Tree,USA,45,hard,1
33795,"bread , butter , butter , butter , cherry , cinnamon , cinnamon , cream , egg , egg , lemon , milk , sugar , sugar , vanilla , vanilla , vanilla ",Southern Style Christmas Bread Pudding with Bourbon Sauce,USA,45,hard,4
33940,"duck , molass , orange , pepper , rosemary , salt , sugar , tea , thyme , water ",Vanderbilt Traditional Christmas Duck,USA,6,easy,2
34502,chocolate ,White Christmas,USA,17,easy,2
37372,"avocado , grapefruit , jalapeno , lemon juice , lettuce , mustard , olive , onion red , orange , pine , pomegranate , rosemary ",Southwestern Christmas Salad,Mexico,17,easy,5
37590,"almond , almond , apricot , baking powder , brandy , butter , butter , cinnamon , currant , egg , flour , ginger , milk , nutmeg , orange , prune , rum , salt , sugar , sugar , vanilla ",Caribbean Christmas Pudding with Brandy Butter,Caribbean,45,hard,4
38409,"chocolate , cream , pastry , pastry ",Christmas Croquembouche,France,6,easy,1
38693,"anise , egg , flour , lemon , olive , orange , salt , sugar , yeast ",Traditional Provencal Christmas Cake,France,45,hard,3
41090,"egg , egg , flour , honey , lemon , lemon , olive , orange , salt , sugar ",Christmas Honey Fritters (Struffoli),Italy,45,hard,1
41227,"almond , almond , butter , cheese cream , chocolate , cream , egg , graham cracker , salt , sugar , sugar , sugar , toffee , vanilla , vanilla ",Christmas Cheesecake with English Toffee Filling,British Isles,45,hard,4
41258,"baking powder , baking soda , brandy , butter , butter , cinnamon , clove , egg , flour , ginger , molass , orange , orange , orange , salt , sugar , sugar , vegetable oil ",Gingerbread Christmas Pudding with Orange Hard Sauce,British Isles,45,hard,1
41321,"baking soda , butter , currant , egg , flour , molass , orange , orange , raisin , raisin , rum , salt , self rising flour , sugar , water ",Mrs. Mackinnon's Christmas Fruitcake,British Isles,45,hard,4
41575,"apple , baking powder , butter , cranberry , egg , flour , lemon juice , salt , sugar , water ",Christmas Glazed Apple Cake (Weihnachten Gedeckter Apfelkuchen),DACH Countries,45,hard,5
41657,"baking powder , butter , egg , flour , sugar , sugar ",Norwegian Christmas Cookies,Scandinavia,45,hard,5
41730,"apple , apple , butter , flour , goose , prune , salt , water ",Scandinavian Roast Christmas Goose,Scandinavia,16,easy,2
41747,"almond , applesauce , baking soda , brandy , butter , buttermilk , cardamom , cinnamon , cream , egg , flour , ginger , mace , molass , molass , salt , shortening , sugar , sugar , sugar , water ",Scandinavian Spiced Christmas Cake with Applesauce Filling,Scandinavia,45,hard,4
42880,"baking powder , butter , cream , egg , flour , milk , salt , sugar , sugar , sugar , sugar , vanilla , vanilla ",Christmas Cutouts with Vanilla Icing,USA,45,hard,4
43432,"butter , celery , chicken , corn bread , onion , parsley , pecan , sage , stuffing ",Sante Fe Christmas Turkey Stuffing,USA,45,hard,4
43798,"baking powder , cranberry , pie crust , pizza , sugar , sugar , sugar , sugar , walnut ",Christmas Cranberry Galette,USA,7,easy,5
44478,"bread , butter , cheddar  cheese, egg , garlic , milk , pepper , salt , sausage , scallion ",Cowboy Christmas Breakfast,USA,45,hard,5
44583,"apricot , apricot , baking powder , butter , butter , cheese cream , cherry , chocolate , coconut , cream , egg , egg , flour , milk , nutmeg , pecan , pecan , salt , sugar , sugar , sugar , vanilla , vanilla ",Christmas Lane Cake,USA,45,hard,5
